row_num,job_id,title,company,location,description,required_skills,source_url
17,38,Financial Analyst,Robert Half (Client),Toronto ON,"Supports financial planning, reporting, and analysis, turning financial and operational data into insights that guide business decisions.","Excel, Financial Reporting, Financial Planning, Analysis",https://www.roberthalf.com/ca/en/jobs/toronto-downtown-on/financial-analyst
18,25,Data Scientist - Analytics,CONFIDENTIAL,  Remote  ,"Solves real-world problems using large datasets, writing clean code to build predictive models and deliver actionable business insights.",Python; SQL; Predictive Modeling; Data Science,https://www.virtualvocations.com/job/data-scientist-2861675-i.html
19,45,Product Analyst,Kredivo Vietnam,Ho Chi Minh City,"Interprets data using statistical techniques, researching product metrics and market trends to identify and fill product gaps.","SQL,Excel,Data Mining,Statistical Analysis",https://topdev.vn/amp/detail-jobs/urgent-product-analyst-data-analyst-python-sql-cong-ty-co-phan-kredivo-viet-nam-2033713
20,34,Senior Marketing Analyst,Confidential,  Remote  ,"Transforms performance marketing data into actionable insights, building reporting on subscription funnel economics and automating data workflows.","SQL, Business Intelligence, Marketing Analytics, Automation",https://www.virtualvocations.com/job/senior-marketing-analyst-3158858-i.html
21,50,Marketing Analyst,TEKsystems,OVERLAND PARK KS (HYBRID),Drives marketing strategy by analyzing consumer data to identify target audiences and inform campaign decisions.,"SQL, Excel, Marketing Analytics, Consumer Data",https://www.marketingmonk.so/jobboard/jobs/marketing-analyst-at-teksystems-kfcwqm
22,16,Data Engineer - Data Warehousing,Insight Global (Enterprise Client),toronto on,"Designs and maintains scalable data pipelines ensuring reliable, timely delivery of data across internal systems and analytics products, using Azure Fabric and Snowflake.","SQL, Azure Fabric, Snowflake, ETL, CI/CD",https://insightglobal.com/jobs/find_a_job/job-516365
23,10,  Business Intelligence Analyst - Automation,Confidential (Service Delivery),  Remote  ,"Designs and supports data, automation, and AI-enabled solutions using Power Apps, Power Automate, and Power BI to improve operational efficiency.","Power BI, Power Automate, SQL, Automation",https://www.virtualvocations.com/job/business-intelligence-analyst-3135066-i.html
24,17,Junior Data Engineer,H&B CANADA OPERATIONS,Toronto ON,"Develops, maintains, and optimizes data pipelines and products, preparing raw data into consumable datasets for technical and non-technical stakeholders on Azure Cloud.","ETL,Azure,Data Pipelines,Data Quality",https://careers.wtwco.com/zh/jobs/junior-data-engineer-toronto-ontario-canada
25,31,Marketing Analyst - Client Analytics,Confidential,remote,"Builds and maintains Tableau dashboards to measure marketing and campaign performance, using SQL against Snowflake to ensure metric accuracy.",SQL; Tableau; Snowflake; Marketing Analytics,https://www.virtualvocations.com/job/marketing-analyst-2932937-i.html
26,37,  Junior Financial Analyst,Murchinson Ltd,  Toronto ON  ,"Evaluates financial risk and analyzes investment information, preparing analytical reports and briefing notes for an investment company.",Excel; VBA; Financial Analysis; Risk Evaluation,https://nu.jobbank.gc.ca/jobsearch/jobposting/49745632
27,26,Data Warehouse Analyst,Credible Group,concord on,"Supports data warehousing operations, working with structured data to support business reporting and informatics systems.","SQL, Data Warehousing, ETL, Reporting",https://on.jobbank.gc.ca/marketreport/jobs/17882/22437
28,12,Senior Business Intelligence Analyst,Confidential,Remote,"Owns end-to-end BI delivery, defines trusted KPI standards, and builds scalable Power BI models for self-service reporting while managing a small BI team.","Power BI, SQL, KPI Design, Team Leadership",https://www.virtualvocations.com/job/senior-business-intelligence-analyst-3145692-i.html
29,1,  Junior Data Analyst,INSIGHT GLOBAL (BANKING CLIENT),TORONTO ON,"Supports a bank's B2B business management team with large-scale data analysis, financial and resource reporting, and executive-facing deliverables.",Data Analysis; Financial Reporting; Excel; Business Analysis,https://jobs.insightglobal.com/find_a_job/ontario/job-540919/
30,47,Product Analyst - Metrics,Confidential,Remote,"Writes SQL queries and builds dashboards to measure product usage and performance, partnering cross-functionally on analytics needs.","SQL, Statistical Modeling, Tableau, Dashboards",https://www.virtualvocations.com/job/product-analyst-2975705-i.html
31,28,  Business Systems Analyst,Metalogics,  Etobicoke ON  ,Gathers business requirements and analyzes systems data to support process improvements and technology recommendations.,"Business Analysis, Requirements Gathering, SQL, Process Improvement",https://www.jobbank.gc.ca/marketreport/jobs/296425/geo9219
32,32,Marketing Analyst - GTM,,Remote,"Builds SQL queries to support dashboards and insights, improving internal reporting processes and running experiments to guide business decisions.","SQL, Excel, Python, Experimentation",https://www.virtualvocations.com/job/marketing-analyst-2935928-i.html
33,40,Financial Analyst,Canadian Tire Corporation,  Toronto ON  ,"Provides financial counsel in planning, forecasting, and reporting for Canadian Tire's retail business, analyzing variances and identifying risks.","Excel, Forecasting, Financial Reporting, Variance Analysis",https://jobs.auditfriendly.co/jobs/financial-analyst-canadian-tire-corporation-d32f998944ff
34,30,Data Analyst,Atlantis IT Group,Toronto ON,"Applies data engineering fundamentals and cloud platform knowledge to support analytics and reporting, with exposure to big data ecosystems.","SQL, GCP, Data Engineering, Analytics",https://catalitium.com/jobs/140281-atlantis-it-group-hiring-data-analyst-atlantis-it-group-hiring-data-analyst
35,46,  Product Analyst,,london uk,"Uses insight to understand user behaviour and value drivers, building dashboards and self-serve tools for product decision-making.","SQL, Python, dbt, Product Analytics",https://www.itjobswatch.co.uk/jv/Harnham-Data-Analytics-Recruitment/Product-Analyst-Job-London-South-East-England-UK-4x6wwk
36,2,Business Analyst - Digital Analytics,Insight Global (Banking Client),Toronto ON,Builds and maintains digital dashboards and handles ad hoc reporting requests for a major downtown Toronto bank.,"Digital Analytics, Dashboards, SQL, Reporting",https://jobs.insightglobal.com/find_a_job/ontario/job-404410/
37,22,Data Scientist - Machine Learning,Confidential (New York),NEW YORK NY,"Translates research and experimentation into production-ready ML solutions, building and scaling models and automation that support core business operations.","Machine Learning, Python, Model Deployment, Production Systems",https://insightglobal.com/jobs/find_a_job/job-493623
38,3,Data Analyst - Fraud Analytics,Robert Half,Toronto ON,"Supports fraud-focused analytics initiatives within a banking environment, working onsite in Toronto.","Data Analysis, SQL, Fraud Analytics, Banking",https://www.roberthalf.com/ca/en/jobs/etobicoke-on/data-analyst
39,41,Senior Financial Analyst - FP&A,CANADIAN TIRE CORPORATION,toronto on,"Supports the FP&A supply chain team with planning, analysis, and reporting, partnering with Supply Chain and Transportation stakeholders.","Excel,Power BI,Tableau,FP&A",https://jobs.auditfriendly.co/jobs/senior-financial-analyst-canadian-tire-corporation-06a28639eccd
40,36,Junior Financial Analyst,Insight Global (Client),TORONTO ON,"Analyzes financial data, prepares reports, and assists with budgeting and forecasting to support business decisions.","Excel, Financial Analysis, Forecasting, Reporting",https://jobs.insightglobal.com/find_a_job/ontario/job-466899
41,24,Data Scientist - Financial Services,Confidential,,"Translates unstructured business problems into well-defined machine learning projects, designing generalizable predictive models for a financial services context.","Python, Statistics, Machine Learning, TensorFlow, Scikit-learn",https://www.virtualvocations.com/job/data-scientist-2857570-i.html
42,49,Product Analyst - Growth,CONFIDENTIAL,  Remote  ,"Analyzes large datasets to identify growth opportunities, using Excel and SQL to design and analyze hypothesis-driven experiments.",Excel; SQL; A/B Testing; Statistical Analysis,https://www.virtualvocations.com/job/product-analyst-3039358-i.html
43,11,Associate BI Analyst,Confidential,remote,"Develops and optimizes dashboards, writes SQL queries, and partners with business stakeholders to turn data into actionable insight.","SQL, Power BI, Tableau, Dashboards",https://www.virtualvocations.com/job/business-intelligence-analyst-3110937-i.html
44,23,Data Scientist - Risk & Marketing,Confidential,Remote,"Develops and maintains predictive machine learning models for risk assessment and product optimization, running experiments to improve conversion.","Machine Learning, Statistics, Experimentation, Python",https://www.virtualvocations.com/job/data-scientist-3143294-i.html
45,19,  Machine Learning Data Scientist,Confidential,  Remote  ,"Evaluates AI technologies, designs experiments, and fine-tunes machine learning models in collaboration with researchers and engineers.",Machine Learning; Python; Experimental Design; AI,https://www.virtualvocations.com/job/machine-learning-data-scientist-3116753-i.html
46,29,Data Analyst - Informatics and Systems,Snappay Inc,MISSISSAUGA ON,"Supports informatics and systems reporting, maintaining data accuracy across internal business systems.","SQL,Data Analysis,Systems Reporting,Excel",https://on.jobbank.gc.ca/marketreport/jobs/17882/22437
47,21,Data Scientist - E-commerce,Confidential (Amazon Growth Team),remote,"Builds real-time machine learning models on large datasets to support business growth, collaborating with product managers and engineers on data-driven features.","Machine Learning,Python,Experimentation,Statistics",https://www.virtualvocations.com/job/data-scientist-3118293-i.html
48,8,Business Intelligence Analyst - Supply Chain,Confidential (Global Supply Chain),REMOTE,Extracts and analyzes large datasets and designs Power BI dashboards to give visibility into supply chain operations and program outcomes.,"Power BI, Data Analysis, Supply Chain, Cost-Benefit Analysis",https://www.virtualvocations.com/job/business-intelligence-analyst-3131330-i.html
49,43,Product Analyst - QA,bancoplata.mx,MEXICO CITY (REMOTE),"Builds analytics and reporting for a quality evaluation system, working at the intersection of analytics, operations, and process design.",SQL; Python; Data Pipelines; Process Automation,https://jobs.valorcapitalgroup.com/companies/bancoplata-mx/jobs/76682143-product-analyst
50,15,Data Engineer,Insight Global (Enterprise Client),TORONTO ON,"Architects and maintains enterprise-scale data platforms supporting analytics, reporting, and machine learning, using distributed processing frameworks.","Python, Spark, ETL/ELT, Data Architecture",https://insightglobal.com/jobs/find_a_job/ontario/toronto/data-engineer/job-533702/
51,29,Data Analyst - Informatics and Systems,Snappay Inc,MISSISSAUGA ON,"Supports informatics and systems reporting, maintaining data accuracy across internal business systems.","SQL,Data Analysis,Systems Reporting,Excel",https://on.jobbank.gc.ca/marketreport/jobs/17882/22437
52,16,Data Engineer - Data Warehousing,Insight Global (Enterprise Client),toronto on,"Designs and maintains scalable data pipelines ensuring reliable, timely delivery of data across internal systems and analytics products, using Azure Fabric and Snowflake.","SQL, Azure Fabric, Snowflake, ETL, CI/CD",https://insightglobal.com/jobs/find_a_job/job-516365
53,39,Senior Financial Analyst,Robert Half (Healthcare Client),Toronto ON,"Supports financial reporting, planning, and decision support for a healthcare organization, helping leaders manage risk and funding decisions.","Excel, Financial Reporting, Decision Support, Analysis",https://www.roberthalf.com/ca/en/jobs/toronto-downtown-on/financial-analyst
